# Truth table
# Generated from circuit ALU_control
# Exported on Sun Mar 20 18:08:36 COT 2022

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

ALUOp[1..0] funct[5..0] | ALU_operation[3..0]
    01        000010    |        0110        
    01        000011    |        0110        
    01        000100    |        0110        
    01        000101    |        0110        
    01        000110    |        0110        
    01        000111    |        0110        
    01        001000    |        0010        
    01        001001    |        0110        
    01        001010    |        0110        
    01        001011    |        0110        
    01        001100    |        0110        
    01        001101    |        0110        
    01        001110    |        0110        
    01        001111    |        0110        
    01        010000    |        0110        
    01        010001    |        0110        
    01        010010    |        0110        
    01        010011    |        0110        
    01        010100    |        0110        
    01        010101    |        0110        
    01        010110    |        0110        
    01        010111    |        0110        
    01        011000    |        0110        
    01        011001    |        0110        
    01        011010    |        0110        
    01        011011    |        0110        
    01        011100    |        0110        
    01        011101    |        0110        
    01        011110    |        0110        
    01        011111    |        0110        
    01        100000    |        0110        
    01        100001    |        0110        
    01        100010    |        0110        
    01        100011    |        0110        
    01        100100    |        0110        
    01        100101    |        0110        
    01        100110    |        0110        
    01        100111    |        0110        
    01        101000    |        0110        
    01        101001    |        0110        
    01        101010    |        0110        
    01        101011    |        0110        
    01        101100    |        0110        
    01        101101    |        0110        
    01        101110    |        0110        
    01        101111    |        0110        
    01        110000    |        0110        
    01        110001    |        0110        
    01        110010    |        0110        
    01        110011    |        0110        
    01        110100    |        0110        
    01        110101    |        0110        
    01        110110    |        0110        
    01        110111    |        0110        
    01        111000    |        0110        
    01        111001    |        0110        
    01        111010    |        0110        
    01        111011    |        0110        
    01        111100    |        0110        
    01        111101    |        0110        
    01        111110    |        0110        
    01        111111    |        0110        
    10        000000    |        0010        
    10        000001    |        0011        
    10        000010    |        0110        
    10        000011    |        0110        
    10        000100    |        0000        
    10        000101    |        0001        
    10        000110    |        1100        
    10        000111    |        1100        
    10        001000    |        0011        
    10        001001    |        0011        
    10        001010    |        0111        
    10        001011    |        0111        
    10        001100    |        0001        
    10        001101    |        0001        
    10        001110    |        1101        
    10        001111    |        1101        
    10        010000    |        0010        
    10        010001    |        0011        
    10        010010    |        0110        
    10        010011    |        0110        
    10        010100    |        0000        
    10        010101    |        0001        
    10        010110    |        1100        
    10        010111    |        1100        
    10        011000    |        0011        
    10        011001    |        0011        
    10        011010    |        0111        
    10        011011    |        0111        
    10        011100    |        0001        
    10        011101    |        0001        
    10        011110    |        1101        
    10        011111    |        1101        
    10        100000    |        0010        
    10        100001    |        0011        
    10        100010    |        0110        
    10        100011    |        0110        
    10        100100    |        0000        
    10        100101    |        0001        
    10        100110    |        1100        
    10        100111    |        1100        
    10        101000    |        0011        
    10        101001    |        0011        
    10        101010    |        0111        
    10        101011    |        0111        
    10        101100    |        0001        
    10        101101    |        0001        
    10        101110    |        1101        
    10        101111    |        1101        
    10        110000    |        0010        
    10        110001    |        0011        
    10        110010    |        0110        
    10        110011    |        0110        
    10        110100    |        0000        
    10        110101    |        0001        
    10        110110    |        1100        
    10        110111    |        1100        
    10        111000    |        0011        
    10        111001    |        0011        
    10        111010    |        0111        
    10        111011    |        0111        
    10        111100    |        0001        
    10        111101    |        0001        
    10        111110    |        1101        
    10        111111    |        1101        
    11        000000    |        0110        
    11        000001    |        0111        
    11        000010    |        0110        
    11        000011    |        0110        
    11        000100    |        0100        
    11        000101    |        0101        
    11        000110    |        1100        
    11        000111    |        1100        
    11        001000    |        0111        
    11        001001    |        0111        
    11        001010    |        0111        
    11        001011    |        0111        
    11        001100    |        0101        
    11        001101    |        0101        
    11        001110    |        1101        
    11        001111    |        1101        
    11        010000    |        0110        
    11        010001    |        0111        
    11        010010    |        0110        
    11        010011    |        0110        
    11        010100    |        0100        
    11        010101    |        0101        
    11        010110    |        1100        
    11        010111    |        1100        
    11        011000    |        0111        
    11        011001    |        0111        
    11        011010    |        0111        
    11        011011    |        0111        
    11        011100    |        0101        
    11        011101    |        0101        
    11        011110    |        1101        
    11        011111    |        1101        
    11        100000    |        0110        
    11        100001    |        0111        
    11        100010    |        0110        
    11        100011    |        0110        
    11        100100    |        0100        
    11        100101    |        0101        
    11        100110    |        1100        
    11        100111    |        1100        
    11        101000    |        0111        
    11        101001    |        0111        
    11        101010    |        0111        
    11        101011    |        0111        
    11        101100    |        0101        
    11        101101    |        0101        
    11        101110    |        1101        
    11        101111    |        1101        
    11        110000    |        0110        
    11        110001    |        0111        
    11        110010    |        0110        
    11        110011    |        0110        
    11        110100    |        0100        
    11        110101    |        0101        
    11        110110    |        1100        
    11        110111    |        1100        
    11        111000    |        0111        
    11        111001    |        0111        
    11        111010    |        0111        
    11        111011    |        0111        
    11        111100    |        0101        
    11        111101    |        0101        
    11        111110    |        1101        
    11        111111    |        1101        
